,class,sms
1337,ham,"sweet , may may go 4u meet carlos gauge patty 's interest"
1338,ham,buying today ? u need c meh ...
1339,ham,aight sorry take ten year shower . 's plan ?
1340,ham,every monday .. nxt week vl completing ..
1341,ham,might ax well im .
1342,ham,chill another 6hrs . could sleep pain surgical emergency see unfolds . okay
1343,ham,yeah 'll try scrounge something
1344,ham,crazy ar 's married . u like gd looking guy . frens like say 's korean leona 's fave dun thk . aft thinking mayb prob 'll go .
1345,ham,somewhere fredericksburg
1346,ham,que pas un buen tiempo something like
1347,ham,ok stay night ? xavier ha sleeping bag 'm getting tired
1348,ham,doesnt need test .
1349,ham,"nothing much , chillin home . super bowl plan ?"
1350,spam,"free2day sexy st george 's day pic jordan ! txt pic 89080 dont miss , every wk saucy celeb ! 4 pic c url 0870241182716 £3/wk"
1351,ham,bugis oso near wat ...
1352,ham,yo class tmrw right ?
1353,ham,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world .... gnun - sent via way2url
1354,ham,"goodnight , sleep well da please take care pa . please ."
1355,ham,baaaaabe ! miss youuuuu ! ? go teach class 5 ...
1357,ham,u ned convince tht possible witot hurting feeling main
1358,ham,"good afternoon loverboy ! go day ? luck come way ? think , sweetie send love across sea make smile happy"
1359,ham,start sending blackberry torch nigeria find buyer ? like 4a month . tell dad buy bb anyone oh .
1360,ham,"number % pple marry lover ... becz hav gud undrstndng dat avoids problem . sent dis 2 u , u wil get gud news friday person like . tomorrow best day life . dont break chain . break suffer . send number frnds number min whn u read ..."
1361,ham,yo dude guess got arrested day
1362,ham,shuhui say change 2 suntec steamboat ? u noe ? r u ?
1363,ham,doe dance river ?
1364,ham,"yetunde , 'm sorry moji seem busy able go shopping . please find way get wanted u get . please forgive . reply free via yahoo messenger ."
1365,ham,hey really pretty late ... want go lesson first ? join . 'm reaching tp mrt
1366,spam,"hot live fantasy call 08707509020 20p per min ntt ltd , po box 1327 croydon cr9 5wb 0870 .. k"
1367,ham,bbq sat mine 6ish . ur welcome 2 come
1368,ham,"n't know , thing 's wrong everyso often , panicks start goin bout bein good enough ..."
1369,ham,alright . 'm -- good night !
1370,ham,try making another butt .
1371,ham,hope feeling great . pls fill . abiola
1372,ham,though shd go n fun bar town something - sound ok ?
1373,ham,"1 ) go write msg 2 ) put dictionary mode 3 ) cover screen hand , 4 ) press number . 5 ) gently remove ur hand .. interesting .. emoticon"
1374,spam,"bear pic nick , tom , pete ... dick . fact , type try gay chat photo upload call 08718730666 ( 10p/min ) . 2 stop text call 08712460324"
1375,spam,"500 new mobile 2004 , must go ! txt : nokia : 89545 collect today ! £1 www.4-URL 2optout 087187262701.50gbp/mtmsg18 txtauction"
1376,ham,'re finally ready fyi
1377,ham,auntie huai juan never pick phone
1378,spam,double min double txt 1/2 price linerental latest orange bluetooth mobile . call mobileupd8 latest offer . 08000839402 call2optout/LF56
1379,ham,"ya tel , wats ur problem .."
1381,ham,dnt wnt tlk wid u
1382,ham,spend day waiting ideal path appear front u .. forget .. `` path made walking .. waiting .. '' goodnight !
1383,ham,ok arm feeling weak cuz got shot go another time
1384,ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve ... already see net .. ticket available .. want book ticket tackle ..
1385,ham,"storming msg : wen u lift phne , u say `` hello '' u knw wt real meaning hello ? ? . . . 's name girl .. ! . . . yes .. u knw dat girl ? ? `` margaret hello '' girlfrnd f grahmbell invnted telphone ... . . . . moral : one 4get name person , bt girlfrnd ... g n g h . . . @"
1386,ham,'s ok . popped ask bout something said 'd . around tonght wen girl come ?
1387,ham,e best 4 ur exam later .
1388,ham,hope ur head doe n't hurt 2 much ! ploughing way pile ironing ! staying chinky tonight come round like .
1389,ham,oh k.i think wi nz player unsold .
1390,ham,"haha ... got fast lose weight , thk muz go 4 month den got effect ... gee , later go aust put bk e weight ."
1391,ham,"wonder got online , love ? gone net cafe ? get phone recharged ? friend net ? think , boytoy"
1392,ham,"haha kidding , papa need drug"
1393,ham,"thk shld b ... ya , wana go 4 lesson ... haha , go one whole stretch ..."
1394,ham,oh ok ..
1395,ham,r still meeting 4 dinner tonight ?
1396,ham,thats cool ! gentleman treat dignity respect .
1397,ham,shall start hear .
1398,ham,wait 4 u lor ... need 2 feel bad lar ...
1399,ham,check ? got detailed message
1400,ham,registered sinco payee . log url enter urn number confirm . beware fraud . share disclose urn anyone .
1401,ham,", decided people care stuff vote caring stuff loser"
1402,ham,kaiez ... enjoy ur tuition ... gee ... thk e second option sound beta ... 'll go yan jiu den msg u ...
1404,ham,cool . fun practicing making baby !
1405,ham,actually getting ready leave house .
1406,ham,k .. k .. special today ?
1407,spam,"urgent , important information o2 user . today lucky day ! 2 find log onto http : //URL fantastic surprise awaiting"
1408,ham,got ta
1409,ham,"'ve got ten buck , jay noncomittal"
1410,ham,hungry
1411,ham,pls speak customer machan .
1412,ham,somewhere beneath pale moon light someone think u dream come true ... goodnite sweet dream
1414,spam,dear u 've invited xchat . final attempt contact u ! txt chat 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL ldn 18 yr
1415,ham,wats ur opinion abt abt character ?
1416,ham,jay snickering tell x totally fucking chord speak
1417,ham,.. hour url hair cut .
1418,ham,wonder ... co dun rem seeing silver car ... thk saw black one ...
1419,ham,lmao . take pic send .
1420,ham,`` speak feel word better silence ... '' gud mrngemoticon
1421,ham,. 's currently scotland .
1422,ham,work week ?
1423,spam,congratulation ur awarded either £500 cd gift voucher free entry 2 £100 weekly draw txt music 87066 tncs url 1 win150ppmx3age16
1424,ham,lol great im getting hungry .
1425,ham,yes .. saw message ..
1426,ham,'ll mu like number second
1428,ham,thing r good thanx got exam march ive done revision ? fran still boyf ? ive got ta interviw 4 exeter bit worried ! x
1429,ham,"tell , make little spreadsheet track whose idea wa smoke determine `` smoke much '' entire month february , 'll come"
1430,spam,sale - arsenal dartboard . good condition double treble !
1431,ham,n't look back building coat n't want get sick . hurry home wear coat gym ! ! !
1432,ham,painful personal thought- `` always try keep everybody happy time . nobody recognises alone ''
1433,ham,thanks lovely wisheds . rock
1434,ham,intrepid duo ! great time see soon .
1435,ham,asked sen come chennai search job .
1436,ham,dad went oredi ...
1437,ham,"jus hope true missin co 'm really missin ! n't done anything feel guilty , yet ."
1438,ham,wat late still early mah . juz go 4 dinner lor . aiya dunno ...
1439,ham,"arm fine , 's cardiff uni ?"
1440,ham,fact leave ? think addie go back school tues wed
1441,ham,cool breeze ... bright sun ... fresh flower ... twittering bird ... waiting wish u : `` goodmorning nice day '' emoticon
1442,ham,yaemoticongoing restaurant ..
1443,ham,"ok. , askd u knw tht ?"
1444,spam,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod £250 cash every wk . txt pod 84128 tsandcs url custcare 08712405020 .
1445,ham,ducking chinchilla
1446,ham,marriage function
1447,ham,look like u wil b getting headstart im leaving bout 2.30ish u r desperate company could head earlier-we goin meet rummer .
1448,ham,n't give flying monkey wot think certainly n't mind . friend mine !
1449,spam,registered optin subscriber ur draw 4 £100 gift voucher entered receipt correct 80062 whats no1 bbc chart
1450,ham,say thanks2 .
1451,ham,msg rajini come .
1452,ham,ya ! u taking ure practical lesson ? start june ..
1453,ham,"'s good , need drug"
1454,ham,url possible
1455,ham,u decide faster co si going home liao ..
1456,spam,summer finally ! fancy chat flirt sexy single yr area ? get matched reply summer . free 2 join . optout txt stop help08714742804
1457,ham,u sleeping .. going take ? haha .. got spy wat .. online checking n replying mail lor ..
1458,spam,claire havin borin time alone u wan na cum 2nite ? chat 09099725823 hope 2 c u luv claire xx Calls£1/minmoremobsEMSPOBox45PO139WA
1460,spam,bought one ringtone getting text costing 3 pound offering tone etc
1461,ham,"yalru lyfu astne chikku .. bt innu mundhe lyf ali halla ke bilo ( marriage ) program edhae , lyf nt yet ovr chikku .. ali vargu lyfu meow meowemoticon"
1462,ham,kinda . first one get twelve ! aah . speak tomo
1463,spam,"09066362231 urgent ! mobile 07xxxxxxxxx £2,000 bonus caller prize 02/06/03 ! 2nd attempt reach ! call 09066362231 asap !"
1464,ham,ok good later come find u ... c lucky told u go earlier ... later pple take finish u ...
1465,ham,wat make u thk 'll fall . actually thk 'm quite prone 2 fall . lucky dad home ask come n fetch already .
1466,spam,"07801543489 guaranteed latest nokia phone , 40gb ipod mp3 player £500 prize ! txt word : collect No:83355 ! TC-LLC NY-USA 150p/Mt msgrcvd18+"
1468,ham,wont touch permission .
1469,spam,hi lucy hubby meetins day fri b alone hotel u fancy cumin ? pls leave msg 2day 09099726395 lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
1470,ham,7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sm 1st `` ur lovely friendship '' ... good morning dear
1471,ham,take small dose tablet fever
1472,ham,oh . u must taken real valentine shopping first .
1473,ham,"sent email - address incomm , right ?"
1474,ham,", gon na blake 's night ? might able get little early"
1475,ham,"friendship game play , word say , doesn\'t start march end may , tomorrow , yesterday , today e"
1476,ham,"nice . wait ... texting right ? 'm gon na pay ticket , ya know !"
1477,ham,'m watching lotr w si dis aft . u wan 2 meet 4 dinner nite ?
1478,ham,keeping away like
1479,ham,think far find . check google map place dorm .
1480,ham,trip wa ok quite tiring lor . uni start today 's ok 4 co 'm taking module jus concentrating final yr project .
1481,ham,always saying welp ?
1482,ham,"'m guy , browsin compulsory"
1484,ham,purity friendship two smiling reading forwarded message .. smiling seeing name . gud evng musthu
1486,ham,"( add n't really care ca n't least get dude fuck hey , money want )"
1487,ham,"hello lover ! go new job ? ? happy ? think ? wake , slave send teasing kiss across sea"
1488,ham,told number gautham ..
1489,ham,tell need investigate anywhere .
1490,ham,ok juz receive ..
1491,ham,"cant believe said many thing morning really wanted say wa good morning , love ! beautiful morning . see library later ."
1492,spam,"account ha credited 500 free text message . activate , txt word : credit : 80488 tandcs url"
1493,ham,end might still vomit okay . everything come .
1494,ham,money ... ... money aint thing .... sha !
1495,ham,ha everything weather . keep extra warm . cold nothing serious . pls lot vitamin c
1496,ham,hey gal .. anyone u going e driving centre tmr ?
1497,ham,'m always yahoo messenger . send message i.ll get may send mobile mode sha i.ll get . reply .
1498,ham,'m putting . ready time
1499,ham,"time n smile r two crucial thing life . sometimes time make u forget smile , sometimes someone 's smile make u forget time gud noon"
1500,spam,"sm . ac jsco : energy high , u may know 2channel . 2day ur leadership skill r strong . psychic ? reply w/question . end ? reply end jsco"
1501,ham,Host-based idp linux system .
1502,spam,"hot live fantasy call 08707509020 20p per min ntt ltd , po box 1327 croydon cr9 5wb 0870 national rate call"
1503,ham,daemoticonwhats plan ?
1504,ham,ill number ok .
1505,ham,oh god . 'm almost home
1506,ham,total video converter free download type google searchemoticon
1507,spam,thanks vote . sing along star karaoke mobile . free link reply sing .
1509,ham,sound like something someone testing would sayy
1510,ham,u love someone dont make love u much u . love much dont want loved anyone except ... gud nit .
1511,ham,"pete , phone still ? jenny college url ? emoticon"
1512,ham,oops sorry . check n't mind picking tomo half eight station . would ok ?
1513,ham,"hey sweet , wa wondering moment might come ? want send file someone wo n't go yahoo connection suck , remember set page go download format disc ? could tell ? know way download big file ? download stuff directly internet . help would great , prey ... * teasing kiss *"
1514,ham,hows champ leaving glasgow !
1515,ham,kemoticonall bestemoticoncongrats ...
1516,ham,wonder 'll get text ?
1517,ham,need come home give good lovin ...
1518,spam,brand new mobile music service live . free music player arrive shortly . install phone browse content top artist .
1519,ham,shall ask one thing dont mistake .
1520,ham,check wid corect speling i.e . sarcasm
1521,spam,"urgent ! mobile wa awarded £2,000 bonus caller prize 1/08/03 ! 2nd attempt contact ! call 0871-4719-523 box95qu bt national rate"
1522,ham,angry . happen dear
1523,ham,thk u dun haf 2 hint e forum already lor ... co told ron n darren going 2 tell shuhui .
1524,ham,yup ok thanx ...
1525,ham,hiemoticoncts employee ?
1526,ham,pls pls find aunt nike .
1527,ham,"wow ... love sooo much , know ? barely stand ! wonder day go well , love ... think miss"
1528,ham,screaming mean shouting ..
1529,ham,hey happen de . alright .
1530,ham,picked receipt something earlier
1531,ham,think chennai well settled ?
1532,ham,oh dang ! n't mean send ! lol !
1533,ham,unfortunately 've found pick sister airport evening n't think 'll going . try go one th
1534,ham,horrible bf ... v hungry ...
1535,ham,remember day ..
1536,spam,nokia 7250i . get win free auction . take part send nokia 86021 . HG/Suite342/2Lands Row/W1JHL 16+
1537,ham,'s feel ? mr . real valentine yo valentine even tho u hardly play ! !
1538,ham,sound good . finger . make difficult type
1539,ham,midnight earliest
1540,ham,'re sure 'm trying make xavier smoke n't want smoke told smoke much ?
1541,ham,k come nordstrom 're done
1542,ham,u konw waht rael friendship im gving yuo exmpel : jsut ese tihs msg .. evrey splleing tihs msg wrnog .. bt sitll yuo raed wihtuot ayn mitsake .. goodnight nice sleep .. sweet dream ..
1543,ham,press conference daemoticon
1544,spam,"hello orange . 1 month 's free access game , news sport , plus 10 free text 20 photo message , reply yes . term apply : URL.uk/ow"
1545,ham,completed degree . use joining finance .
1546,ham,"good afternoon , love ! job prospect ? missing ? ? lazy bleak , hmmm ? happy filled love ?"
1547,ham,shant disturb u anymore ... jia ...
1548,ham,bishan lar nearer ... need buy early co buy got ta park car ...
1549,ham,", dont know oh"
1550,ham,dude sux snake . got old raiden got buff
1551,ham,say hi get back south tampa ( preferably kegger )
1552,ham,e msg jus . u said thanks gift .
1553,ham,u ...
1554,ham,ok dear . call chechi
1555,ham,yeah tote . u wan na ?
1556,ham,ok found dis pierre cardin one look normal cost 20 sale .
1557,ham,good sleep rhythm . person ha establish rhythm body learn use . want know emoticon
1558,ham,wat r u ?
1559,ham,message . truro hospital ext . phone . phone side
1560,ham,"single line big meaning : : : : : `` miss anything 4 ur `` best life '' , n't miss ur best life anything ... gud nyt ..."
1561,ham,"got gas money , chance gang want go grand nature adventure ?"
1562,ham,dnt worry ... use ice piece cloth url take 2 tablet .
1563,ham,dude saw parked car sunroof popped . sux
1564,ham,get ready put excellent sub face emoticon
1565,ham,tmrw . im finishing 9 door
1566,ham,"number g saw day ago , guy want sell wifi number 3g number . 's blanked ."
1567,ham,late .
1568,ham,"whatever , im pretty pissed ."
1570,ham,dont much image class .
1571,ham,noemoticoni got rumour going buy apartment chennaiemoticon
1572,ham,near kalainar tv url
1573,spam,ur cash-balance currently 500 pound - maximize ur cash-in send go 86688 150p/msg . cc 08718720201 HG/Suite342/2Lands Row/W1J6HL
1574,spam,sm auction - brand new nokia 7250 4 auction today ! auction free 2 join take part ! txt nokia 86021 ! HG/Suite342/2Lands Row/W1J6HL
1575,ham,si catching e show e afternoon 'm watching w . c u wan 2 watch today tmr lor .
1576,ham,"sound gd ... haha ... ... wah , u yan jiu fast liao ..."
1577,ham,. nosy guess . idk reacting 'm freaked ?
1578,ham,"remember hurt day satanic imposter url pay price , url destiny keep going u said pray get mind get ."
1579,ham,make girl happy ? 's difficult make girl happy . u need ... 1 . friend 2 . companion 3 . lover 4 . chef . . . number . good listener number . organizer number . good boyfriend number . clean number . sympathetic number . athletic number . warm . . . number . courageous number . determined number . true number . dependable number . intelligent . . . number . psychologist number . pest exterminator number . psychiatrist number . healer . . number . stylist number . driver . . aaniye pudunga venaam ..
1580,ham,", princess ? bet brothas chasing !"
1581,ham,"shall book chez jules half eight , 's ok ?"
1582,ham,hhahhaahahah rofl wtf nig wa leonardo room something
1583,ham,"yep , derek 's house , see sunday emoticon"
1584,ham,"'s cool , let know kick around number , 'll day"
1586,ham,wa wondering would okay call uncle john let know thing nigeria r . number dollar 2years sent know strain plan pay back every dime give . every dime expect anything practical . something like .
1587,ham,charge transfer charge withdraw anyhow like
1588,ham,"dont search love , let love find U. thats called falling love , bcoz u dont force , u fall u know smeone hold u ... bslvyl"
1589,ham,4 . let 's go bill miller
1590,ham,love . set soul fire . spark . flame . big rawring flame . xoxo
1591,ham,"somewhr someone surely made 4 u . god ha decided perfect time make u meet dat person . . . . till den , . . . . . enjoy ur crush .. ! ! ! emoticon"
1592,ham,'s honeymoon outfit . emoticon
1593,ham,help propose going back tomorrow
1594,spam,private ! 2003 account statement show 800 un-redeemed S. I. M. point . call 08719899230 identifier code : 41685 expires 07/11/04
1595,ham,never blame day ur life . good day give u happiness . bad day give u experience . essential life ! god blessing ! good morning . :
1596,ham,pls confirm time collect cheque .
1597,spam,registered subscriber yr draw 4 £100 gift voucher b entered receipt correct . next olympics . txt 80062
1598,spam,urgent ! mobile number ha awarded £2000 prize guaranteed . call 09061790121 land line . claim 3030 . valid 12hrs 150ppm
1599,ham,daddy take good care emoticon
1600,ham,"yeah probably , still got ta check leo"
1601,ham,K.then special ?
1602,ham,carlos taking sweet time usual let know patty done/want smoke 'll tell haul
1603,ham,ok pa . nothing problememoticon
1604,ham,heard job ? 'm going wildlife talk tonight u want2come . that2worzels wizzle whatever ? !
1605,ham,"god picked flower dippeditinadew , lovingly touched itwhichturnedinto u , gifted tomeandsaid , friend 4u"
1606,ham,came hostel .
1607,ham,ok prob ... 'll come lunch ...
1608,ham,jus telling u dat 'll b leaving 4 shanghai 21st instead 'll haf time 2 meet cya ...
1609,ham,freezing ? home yet ? remember kiss mom morning ? love ? think ? missing yet ?
1610,ham,ready * big day tomorrow ?
1611,ham,'ll probably around mu lot
1612,ham,645
1613,spam,RT-KIng pro video club > > need help ? email call 08701237397 must 16+ club credit redeemable URL.uk ! enjoy !
1614,ham,thnx dude . u guy 2nite ?
1615,ham,sef dey laugh . meanwhile 's darling anjie !
1616,ham,mm food da
1617,ham,"k , make sense , btw carlos difficult guy gon na smoke go pick second batch get gas"
1618,ham,u download fring app ?
1619,ham,2 oz guy kinda flaky one friend interested picking $ number worth tonight possible
1620,ham,friend u stay fb chat
1621,ham,"fuck babe , miss sooooo much ! ! wish sleep ... bed lonely ... go , sleep ... dream , love ..."
1622,ham,"living simple .. loving also simple .. laughing simple .. winning tooo simple .. , 'SIMPLE ' difficult .. gud nte . : -"
1623,spam,u secret admirer looking 2 make contact U-find r * reveal think ur special-call 09058094599
1624,ham,"ah , well confuses thing , doe n't ?"
1625,spam,500 free text msg . text ok 80488 'll credit account
1626,ham,hi dear call urgnt . n't know whats problem . n't want work problem least tell . wating reply .
1627,ham,dear . ok ?
1628,spam,"selected stay 1 250 top british hotel - nothing ! holiday worth £350 ! claim , call london 02072069400 . bx 526 , sw73ss"
1629,ham,yes princess ! want make happy ...
1630,ham,sound like many talent ! would like go dinner date next week ?
1631,ham,going film 2day da . 6pm . sorry da .
1632,ham,watching movie already . xy want 2 shop 'm shopping w .
1633,ham,hello little party animal ! thought 'd buzz friend ... * grin * ... reminding loved send naughty adoring kiss
1634,ham,yesterday . going home .
1635,spam,"eerie nokia tone 4u , rply tone title 8007 eg tone dracula 8007 title : ghost , addamsfa , munsters , exorcist , twilight URL.uk pobox36504w45wq 150p"
1636,ham,"come life brought sun .. shiny , warming heart . putting constant smile face ... making feel loved cared"
1637,ham,"shit , wa n't surprised , went spent evening french guy met town fooled around bit n't let fuck"
1638,spam,"0a $ network allow company bill sm , responsible `` supplier '' , shop ha give guarantee sell . B. g ."
1639,ham,great comedy .. cant stop laughing daemoticon
1640,spam,freemsg : feelin kinda lnly hope u like 2 keep company ! jst got cam moby wan na c pic ? txt reply date 82242 msg150p 2rcv hlp 08712317606 stop 82242
1641,ham,"alright , 're set , text man"
1642,ham,"hi , ? 're 're keen go kind feel n't go tomo , n't mind ?"
1643,ham,sleeping nt feeling well
1644,ham,u switch fone dammit ! !
1645,ham,india take leademoticon
1646,ham,I.ll post l8r . class
1647,ham,thts wat wright brother fly ..
1648,ham,"evening * v good somewhat event laden . fill , n't worry ... head * ok throat * wrecked . see six !"
1649,ham,u laugh really loud .. u talk spontaneously .. u dont care others feel .. u probably dear best friend .. goodevening dear .. emoticon
1650,ham,laptop take .
1651,ham,dont file bag .. wa work called me.i 'll tell find anything room .
1652,ham,wan early lei ... outside wun b home early ... neva mind ...
1653,spam,"ur chance win £250 cash every wk txt : action 80608 . T'sandC 's url custcare 08712405022 , 1x150p/wk"
1654,ham,wa bugis juz wat ... 'm walking home oredi ... u late reply ... oso saw top dat like din buy ... r u ?
1656,ham,7 go ok na .
1657,ham,yes posted couple pic fb . 's still snow outside . 'm waking emoticon
1658,ham,semoticonif one good partnership going take leademoticon
1659,spam,rgent ! 2nd attempt contact u ! u £1250 call 09071512433 b4 050703 tandcsbcm4235wc1n3xx . callcost 150ppm mobilesvary . max£7 . 50
1660,ham,"yeah , 's class ?"
1661,ham,send . bec temple na .
1662,ham,"n't coming home class , right ? need work shower !"
1663,spam,hi ur lookin 4 saucy daytime fun wiv busty married woman free next week chat 2 sort time 09099726429 janinexx Calls£1/minMobsmoreLKPOBOX177HP51FL
1664,ham,mostly like .
1665,ham,u v fan ...
1666,ham,dunno co wa v late n reach inside already ... ate spageddies lor ... 's e gal r laughing lor ...
1667,ham,guess spent last night phasing fourth dimension
1668,ham,dad gon na call get work ask crazy question .
1669,ham,"yes .. said IT. ,"
1670,ham,"hurting n meaningful line ever : `` compromised everything love , end love compromised everythingemoticon '' .. gud morninemoticon"
1671,ham,lmao ! nice 1
1672,ham,glad see reply .
1673,spam,urgent ! trying contact U. today draw show £800 prize guaranteed . call 09050001295 land line . claim a21 . valid 12hrs
1674,spam,monthly password wap . url 391784 . use wap phone pc .
1675,ham,nah dub je still buff
1676,ham,"painful words- `` thought happy wa toughest thing earth ... , toughest acting happy unspoken pain inside .. ''"
1677,ham,"yeah , 's fine ! 's £6 get , ok ?"
1678,ham,lol u come idea ?
1679,ham,"many people seems special first sight , remain special till last sight .. maintain till life end .. sh ! jas"
1681,ham,okay ... wait ah
1682,ham,lei ?
1683,ham,hi babe u r likely bed im sorry tonight ! really wan na see u tomorrow call 9 . love xxx
1684,ham,already squatting new way walking
1685,ham,want bold 2 bb torch
1686,ham,cramp stopped . going back sleep
1687,spam,today vodafone number ending 0089 ( last four digit ) selected received £350 award . number match please call 09063442151 claim £350 award
1688,spam,free top ringtone -sub weekly ringtone-get 1st week free-send subpoly 81618- ? 3 per week-stop sms-08718727870
1689,ham,nan sonathaya soladha . bos ?
1690,ham,bring tat cd forget
1692,ham,n't know 'm raping dude poker
1693,ham,weightloss ! girl friend . make load money ebay something . give thanks god .
1694,ham,wa gr8 see message . r u leaving ? congrats dear . school wat r ur plan .
1695,ham,u eatin later 'm eatin wif frens lei ... u going home first ?
1696,ham,finish already ... yar keep saying mushy ... embarrassed ok ...
1697,ham,"sorry man , stash ran dry last night ca n't pick sunday"
1698,ham,hai priya right . doctor said pa. .
1699,spam,"free msg . sorry , service ordered 81303 could delivered sufficient credit . please top receive service ."
1701,ham,please ask mummy call father
1702,ham,come room come house co house still messy ... haha ...
1703,ham,lost 10 kilo today !
1704,ham,taste fish curry : -P
1705,ham,? might accidant tookplace somewhere ghodbandar rd . traffic move slovely . plz slip n't worry .
1706,ham,yun url u wkg ? btw u go nu sc . u wana specialise wad ?
1707,ham,yes ! one woman man ! please tell like dislike bed ...
1708,ham,wa test earlier . appreciate . call tomorrow .
1709,ham,"'s loverboy ? doe keep coming queen , hmmm ? doe n't ache speak ? miss desparately ?"
1710,ham,u meet fren dun wan meet ah ... muz b guy rite ...
1711,ham,"( promise though , n't even gotten dinner yet )"
1712,ham,got back ! dislike bed ?
1713,ham,turn stereo love mi phone unknown album .
1714,spam,hard live 121 chat 60p/min . choose girl connect live . call 09094646899 ! cheap chat uk 's biggest live service . vu bcm1896wc1n3xx
1715,ham,yeah n't see
1716,ham,asking u knw nt ? may ur frnds classmate ?
1717,ham,"sorry earlier . putting url around talk 9 ? actually life , lol !"
1718,spam,wow ! boy r back . take 2007 uk tour . win vip ticket pre-book vip club . txt club 81303 . trackmarque ltd info @ vipclub4u .
1719,ham,"missionary hook , doggy hook , standing ... |"
1720,ham,u better go sleep .. dun disturb u liao .. u wake msg lor ..
1722,ham,watching house - entertaining - getting whole hugh laurie thing - even stick - indeed especially stick .
1723,ham,thought praps meant another one . goodo ! 'll look tomorrow
1724,ham,"hi jon , pete , ive bin 2 spain recently hav sum dinero left , bill said u ur rent mayb interested , hav 12,000pes , around £48 , tb , james ."
1725,ham,bold 2 number .
1726,ham,know . shall speak number minute
1727,ham,`` alrite hunny ! wot u 2 2nite ? didnt end goin town jus da pub instead ! jus chillin da mo bedroom ! love jen xxx . ''
1728,ham,went project centre
1729,ham,per request 'Maangalyam ( alaipayuthe ) ' ha set callertune caller . press * 9 copy friend callertune
1730,ham,lol yeah point guess
1731,ham,project w frens lor .
1732,ham,lol . well quality aint bad aint complaining
1733,ham,"k , happen tonight ?"
1734,spam,"hi , mandy sullivan calling hotmix fm ... chosen receive £5000.00 easter prize draw ..... please telephone 09041940223 claim 29/03/05 prize transferred someone else ...."
1735,ham,"think 're going finn 's , come"
1736,ham,tired special
1737,ham,come tomorrow di
1739,ham,k go sleep well . take restemoticon .
1740,ham,u guy never invite anywhere emoticon
1741,spam,ur going 2 bahamas ! callfreefone 08081560665 speak live operator claim either bahamas cruise of£2000 cash 18+only . opt txt x 07786200117
1742,ham,! want please inside outside bedroom ...
1743,ham,`` ey ! calm downon theacusations .. itxt u co iwana know wotu r doin THEW/END ... haventcn u age .. ring ur up4 nething url j xxx . ''
1744,ham,love wine dine lady !
1745,spam,someone ha conacted dating service entered phone fancy ! find call landline 09111030116 . pobox12n146tf15
1746,ham,"im cool ta luv v.tired 2 cause doin load planning wk , got social service inspection nursery ! take care spk sn x ."
1747,ham,know account detail .. ask mom send url mom reach .
1748,ham,think u wrong number .
1749,ham,feel always happy .. slowly becomes habit finally becomes part life .. follow .. happy morning happy dayemoticon
1750,ham,b late love mum
1751,ham,got .. mail panren paru ..
1752,ham,* wa thinking chuckin ur red green n black trainners 2 save carryin bac train
1753,ham,give one miss number please
1754,ham,jus came back fr lunch wif si . u leh ?
1755,ham,schedule next week ? town weekend .
1756,ham,really goodemoticondhanush rock againemoticon
1757,ham,lmao ok wont needing u hair anymore .
1758,ham,"miss ya , need ya , want ya , love ya ."
1759,ham,sorry 'm free ...
1760,ham,u ever get song stuck head reason wo n't go away til u listen like 5 time ?
1761,ham,nt yet chikku .. simple habba .. hw abt u ?
1762,ham,"got ur mail url muchand look forward lot support ... less contact , remember one venugopal url late , shall try come till url dear ."
1763,ham,sometimes heart remembrs someone much ... forgets someone soon ... bcoz heart like everyone . liked one remembered everytime ... bslvyl
1764,ham,joy 's father john . john name joy 's father . mandan
1765,spam,hi 07734396839 ibh customer loyalty offer : new nokia6600 mobile £10 txtauction ! txt word : start No:81151 get ! 4tand
1766,ham,hi yijue ... 's regarding 3230 textbook 's intro algorithm second edition ... 'm selling $ 50 ...
1767,spam,sm auction nokia 7250i . get win free auction . take part send nokia 86021 . HG/Suite342/2Lands Row/W1JHL 16+
1768,ham,"k , want u come ?"
1769,ham,. little difficult simple way enter place
1770,ham,ha ... u e thing . got tv 2 watch . u thk 2 go tonight u already haf smth mind ...
1771,ham,dont show . far . put new picture facebook .
1772,ham,watching tv . got new job emoticon
1773,ham,"good afternoon sexy bun ! go job search ? wake first thought always , love . wish fine happy know adore !"
1774,ham,"'m coming , whatever want"
1775,ham,"ok chikku , 1 favourite song .. emoticon"
1776,ham,u see posted facebook ?
1777,spam,call freephone 0800 542 0578 !
1778,spam,buy space invader 4 chance 2 win orig arcade game console . press 0 game arcade ( std wap charge ) see URL/games 4 term + setting . purchase
1781,spam,big brother alert ! computer ha selected u 10k cash 150 voucher . call 09064018838 . ntt po box cro1327 18+ bt landline cost 150ppm mobile vary
1782,ham,"emoticon oh well , c u later"
1783,ham,uncle atlanta . wish guy great semester .
1784,ham,dear free message without recharge . hi hi hi
1786,ham,dun believe u. thk u told .
1787,ham,"know god created gap finger .. ? , one made come fill gap holding hand love .. !"
1788,ham,yesemoticonsura sun url .
1789,ham,arun u transfr amt
